StateName,PNGFilename,ClickableName,NextState

Splash,assets/specflash.png,Next,Information

End,assets/END-09.png,Restartbig,Splash

Correctinflu,assets/influencecorrect-09.png,Restartbig2,Splash
Correctsf,assets/correctsf-09.png,Restartbig2,Splash
Correctmom,assets/correctmom-09.png,Restartbig2,Splash
Correctstudent,assets/correctstudent-09.png,Restartbig2,Splash

Information,assets/specflashupdate-02.png,Drone,Instructions
Information,assets/specflashupdate-02.png,Restart,Splash
Information,assets/specflashupdate-02.png,Next2,Instructions

Instructions,assets/instructionupdate-03.png,Student2,
Instructions,assets/instructionupdate-03.png,Mom,
Instructions,assets/instructionupdate-03.png,Influence,
Instructions,assets/instructionupdate-03.png,Sfnative,
Instructions,assets/instructionupdate-03.png,Restart,Splash
Instructions,assets/instructionupdate-03.png,Next2,Character


Character,assets/characterselection-04.png,Select,Student
Character,assets/characterselection-04.png,Select1,Mom
Character,assets/characterselection-04.png,Select2,Sfnative
Character,assets/characterselection-04.png,Select3,Influencer


Student,assets/student1-07.png,Select5,StudentB
Student,assets/student1-07.png,Select4,Studenta

Studenta,assets/studentA-07.png,Next3,Correctstudent
StudentB,assets/studentB-07.png,Next3,End

Mom,assets/singlemom1-06.png,Select4,MomA
Mom,assets/singlemom1-06.png,Select5,Momb

MomA,assets/momA-06.png,Next3,"Correctmom"  
Momb,assets/momB-06.png,Next3,End

Sfnative,assets/sf1-08.png,Select5,SfB
Sfnative,assets/sf1-08.png,Select4,SfA

SfA,assets/sfA-08.png,Next3,End
SfB,assets/sfB-08.png,Next3,Correctsf

Influencer,assets/influencer1-05.png,Select5,InfluB
Influencer,assets/influencer1-05.png,Select4,Influa

Influa,assets/influA-05.png,Next3,"End" 
InfluB,assets/influB-05.png,Next3,Correctinflu

